gene_name,transcript_id
RIMS3,ENST00000372684.8
KCNQ4,ENST00000347132.10
CITED4,ENST00000372638.4
CTPS1,ENST00000650070.2
EDN2,ENST00000372587.5
HIVEP3,ENST00000372583.6
GUCA2B,ENST00000372581.2
GUCA2A,ENST00000357001.3
FOXJ3,ENST00000361346.6
RIMKLA,ENST00000431473.4
ZMYND12,ENST00000372565.8
PPCS,ENST00000372561.4
PPIH,ENST00000304979.8
YBX1,ENST00000321358.12
CLDN19,ENST00000296387.6
P3H1,ENST00000296388.10
C1orf50,ENST00000372525.7
SVBP,ENST00000372521.9
ERMAP,ENST00000372517.8
ZNF691,ENST00000651192.1
SLC2A1,ENST00000426263.10
FAM183A,ENST00000335282.5
EBNA1BP2,ENST00000236051.3
CFAP57,ENST00000372492.9
TMEM125,ENST00000439858.6
C1orf210,ENST00000523677.6
TIE1,ENST00000372476.8
MPL,ENST00000372470.9
CDC20,ENST00000310955.11
ELOVL1,ENST00000372458.8
MED8,ENST00000372457.9
SZT2,ENST00000634258.3
HYI,ENST00000372430.9
PTPRF,ENST00000359947.9
KDM4A,ENST00000372396.4
ST3GAL3,ENST00000347631.8
ARTN,ENST00000372359.10
IPO13,ENST00000372343.8
DPH2,ENST00000255108.8
ATP6V0B,ENST00000472174.7
B4GALT2,ENST00000372324.6
CCDC24,ENST00000372318.8
SLC6A9,ENST00000372310.8
KLF17,ENST00000372299.4
KLF18,ENST00000634670.1
DMAP1,ENST00000372289.7
ERI3,ENST00000372257.7
RNF220,ENST00000361799.7
TMEM53,ENST00000372237.8
ARMH1,ENST00000535358.6
KIF2C,ENST00000372224.9
RPS8,ENST00000396651.8
BEST4,ENST00000372207.4
PLK3,ENST00000372201.5
DYNLT4,ENST00000339355.3
PTCH2,ENST00000372192.4
EIF2B3,ENST00000360403.7
HECTD3,ENST00000372172.5
UROD,ENST00000246337.9
ZSWIM5,ENST00000359600.6
HPDL,ENST00000334815.6
MUTYH,ENST00000456914.7
TOE1,ENST00000372090.6
TESK2,ENST00000372086.4
CCDC163,ENST00000629482.3
MMACHC,ENST00000401061.9
PRDX1,ENST00000319248.13
AKR1A1,ENST00000351829.9
NASP,ENST00000350030.8
CCDC17,ENST00000528266.6
GPBP1L1,ENST00000355105.8
TMEM69,ENST00000372025.5
IPP,ENST00000396478.4
MAST2,ENST00000361297.7
PIK3R3,ENST00000262741.10
TSPAN1,ENST00000372003.6
P3R3URF,ENST00000506599.2
POMGNT1,ENST00000371984.8
LURAP1,ENST00000371980.4
RAD54L,ENST00000371975.9
LRRC41,ENST00000617190.5
UQCRH,ENST00000311672.10
NSUN4,ENST00000474844.6
FAAH,ENST00000243167.9
DMBX1,ENST00000360032.4
KNCN,ENST00000481882.7
MKNK1,ENST00000371945.10
TEX38,ENST00000334122.5
EFCAB14,ENST00000371933.8
CYP4B1,ENST00000371923.9
CYP4A11,ENST00000310638.9
CYP4X1,ENST00000371901.4
CYP4Z1,ENST00000334194.4
CYP4A22,ENST00000371891.8
PDZK1IP1,ENST00000294338.7
STIL,ENST00000371877.8
CMPK1,ENST00000371873.10
FOXE3,ENST00000335071.4
FOXD2,ENST00000334793.6
TRABD2B,ENST00000606738.3
SLC5A9,ENST00000438567.7
SPATA6,ENST00000371847.8
AGBL4,ENST00000371839.6
BEND5,ENST00000371833.4
ELAVL4,ENST00000371824.7
DMRTA2,ENST00000404795.4
FAF1,ENST00000396153.7
CDKN2C,ENST00000371761.4
C1orf185,ENST00000371759.7
RNF11,ENST00000242719.4
TTC39A,ENST00000680483.1
EPS15,ENST00000371733.8
OSBPL9,ENST00000428468.6
NRDC,ENST00000352171.12
RAB3B,ENST00000371655.4
TXNDC12,ENST00000371626.9
KTI12,ENST00000371614.2
BTF3L4,ENST00000313334.13
ZFYVE9,ENST00000287727.8
CC2D1B,ENST00000284376.8
ORC1,ENST00000371568.8
PRPF38A,ENST00000257181.10
TUT4,ENST00000257177.9
GPX7,ENST00000361314.5
SHISAL2A,ENST00000517870.2
COA7,ENST00000371538.5
ZYG11B,ENST00000294353.7
ZYG11A,ENST00000371528.2
ECHDC2,ENST00000371522.9
SCP2,ENST00000371514.8
PODN,ENST00000312553.10
SLC1A7,ENST00000371494.9
CPT2,ENST00000371486.4
CZIB,ENST00000294360.5
MAGOH,ENST00000371470.8
LRP8,ENST00000306052.12
DMRTB1,ENST00000371445.3
NDC1,ENST00000371429.4
YIPF1,ENST00000072644.7
DIO1,ENST00000361921.8
HSPB11,ENST00000194214.10
LRRC42,ENST00000371370.8
LDLRAD1,ENST00000371360.2
TMEM59,ENST00000234831.10
TCEANC2,ENST00000234827.6
CYB5RL,ENST00000534324.6
MRPL37,ENST00000360840.9
ACOT11,ENST00000343744.7
FAM151A,ENST00000302250.7
MROH7,ENST00000421030.7
TTC4,ENST00000371281.4
PARS2,ENST00000371279.4
TTC22,ENST00000371276.9
LEXM,ENST00000371273.4
DHCR24,ENST00000371269.9
TMEM61,ENST00000371268.4
BSND,ENST00000651561.1
PCSK9,ENST00000302118.5
USP24,ENST00000294383.7
PLPP3,ENST00000371250.4
PRKAA2,ENST00000371244.9
FYB2,ENST00000343433.7
C8A,ENST00000361249.4
C8B,ENST00000371237.9
DAB1,ENST00000371236.7
OMA1,ENST00000371226.8
TACSTD2,ENST00000371225.4
MYSM1,ENST00000472487.6
JUN,ENST00000371222.4
FGGY,ENST00000303721.12
HOOK1,ENST00000371208.5
CYP2J2,ENST00000371204.4
C1orf87,ENST00000371201.3
NFIA,ENST00000403491.8
TM2D1,ENST00000606498.5
PATJ,ENST00000642238.2
L1TD1,ENST00000498273.2
KANK4,ENST00000371153.9
USP1,ENST00000339950.5
DOCK7,ENST00000635253.2
ANGPTL3,ENST00000371129.4
ATG4C,ENST00000317868.9
FOXD3,ENST00000371116.4
ALG6,ENST00000263440.6
ITGB3BP,ENST00000271002.15
EFCAB7,ENST00000371088.5
PGM1,ENST00000371084.8
ROR1,ENST00000371079.6
UBE2U,ENST00000371077.10
CACHD1,ENST00000651257.2
JAK1,ENST00000342505.5
AK4,ENST00000327299.8
DNAJC6,ENST00000371069.5
LEPROT,ENST00000371065.9
LEPR,ENST00000349533.11
PDE4B,ENST00000341517.9
SGIP1,ENST00000371037.9
DYNLT5,ENST00000282670.7
INSL5,ENST00000304526.3
DNAI4,ENST00000371026.8
MIER1,ENST00000401041.6
SLC35D1,ENST00000235345.6
C1orf141,ENST00000684719.1
IL23R,ENST00000347310.10
IL12RB2,ENST00000674203.2
SERBP1,ENST00000361219.11
GADD45A,ENST00000370986.9
GNG12,ENST00000370982.4
DIRAS3,ENST00000370981.3
WLS,ENST00000262348.9
RPE65,ENST00000262340.6
DEPDC1,ENST00000456315.7
LRRC7,ENST00000651989.2
LRRC40,ENST00000370952.4
ANKRD13C,ENST00000370944.9
CTH,ENST00000370938.8
ZRANB2,ENST00000370920.8
NEGR1,ENST00000357731.10
LRRIQ3,ENST00000354431.9
FPGT,ENST00000370898.9
TNNI3K,ENST00000326637.8
LRRC53,ENST00000294635.5
ERICH3,ENST00000326665.10
CRYZ,ENST00000340866.10
TYW3,ENST00000370867.8
LHX8,ENST00000356261.4
ACADM,ENST00000370841.9
RABGGTB,ENST00000319942.8
MSH4,ENST00000263187.4
ASB17,ENST00000284142.7
ST6GALNAC3,ENST00000328299.4
ST6GALNAC5,ENST00000477717.6
PIGK,ENST00000370812.8
AK5,ENST00000354567.7
ZZZ3,ENST00000370801.8
USP33,ENST00000370794.7
NEXN,ENST00000334785.12
FUBP1,ENST00000370768.7
DNAJB4,ENST00000370763.6
GIPC2,ENST00000370759.4
PTGFR,ENST00000370757.8
IFI44L,ENST00000370751.10
IFI44,ENST00000370747.9
ADGRL4,ENST00000370742.4
TTLL7,ENST00000260505.13
PRKACB,ENST00000370685.7
SAMD13,ENST00000394834.8
DNASE2B,ENST00000370665.4
RPF1,ENST00000370654.6
GNG5,ENST00000370645.9
CTBS,ENST00000370630.6
SSX2IP,ENST00000342203.8
LPAR3,ENST00000370611.4
MCOLN2,ENST00000370608.8
DNAI3,ENST00000294664.11
MCOLN3,ENST00000370589.7
SYDE2,ENST00000341460.6
C1orf52,ENST00000471115.6
BCL10,ENST00000648566.1
DDAH1,ENST00000284031.13
CCN1,ENST00000451137.7
ZNHIT6,ENST00000370574.4
COL24A1,ENST00000370571.7
CLCA2,ENST00000370565.5
CLCA1,ENST00000394711.2
CLCA4,ENST00000370563.3
SH3GLB1,ENST00000370558.8
SELENOF,ENST00000331835.10
HS2ST1,ENST00000370550.10
LMO4,ENST00000370544.10
PKN2,ENST00000370521.8
GTF2B,ENST00000370500.10
KYAT3,ENST00000260508.9
RBMXL1,ENST00000652648.1
GBP3,ENST00000370481.9
GBP1,ENST00000370473.5
GBP2,ENST00000370466.4
GBP7,ENST00000294671.3
GBP4,ENST00000355754.7
GBP6,ENST00000370456.5
LRRC8B,ENST00000330947.7
LRRC8C,ENST00000370454.9
LRRC8D,ENST00000337338.9
ZNF326,ENST00000340281.9
BARHL2,ENST00000370445.5
ZNF644,ENST00000337393.10
HFM1,ENST00000370425.8
CDC7,ENST00000234626.11
TGFBR3,ENST00000212355.9
BRDT,ENST00000399546.7
EPHX4,ENST00000370383.5
BTBD8,ENST00000636805.2
C1orf146,ENST00000370375.8
GLMN,ENST00000370360.8
RPAP2,ENST00000610020.2
GFI1,ENST00000294702.6
RPL5,ENST00000370321.8
DIPK1A,ENST00000370310.5
MTF2,ENST00000370298.9
TMED5,ENST00000370282.8
DR1,ENST00000370272.9
FNBP1L,ENST00000271234.13
BCAR3,ENST00000260502.11
DNTTIP2,ENST00000436063.7
GCLM,ENST00000370238.8
ABCA4,ENST00000370225.4
ARHGAP29,ENST00000260526.11
ABCD3,ENST00000370214.9
F3,ENST00000334047.12
SLC44A3,ENST00000271227.11
CNN3,ENST00000370206.9
ALG14,ENST00000370205.6
TLCD4,ENST00000370203.9
RWDD3,ENST00000370202.5
PTBP2,ENST00000674951.1
DPYD,ENST00000370192.8
SNX7,ENST00000306121.8
PLPPR5,ENST00000263177.5
PLPPR4,ENST00000370185.9
PALMD,ENST00000263174.9
FRRS1,ENST00000646001.2
AGL,ENST00000361915.8
SLC35A3,ENST00000533028.8
MFSD14A,ENST00000370152.8
SASS6,ENST00000287482.6
LRRC39,ENST00000370137.6
DBT,ENST00000370132.8
RTCA,ENST00000370128.9
CDC14A,ENST00000336454.5
GPR88,ENST00000315033.5
VCAM1,ENST00000294728.7
EXTL2,ENST00000370114.8
SLC30A7,ENST00000357650.9
DPH5,ENST00000370109.8
S1PR1,ENST00000305352.7
OLFM3,ENST00000370103.9
COL11A1,ENST00000370096.9
RNPC3,ENST00000423855.7
AMY2B,ENST00000684275.1
AMY2A,ENST00000414303.7
AMY1A,ENST00000370083.9
AMY1B,ENST00000330330.10
AMY1C,ENST00000622339.5
PRMT6,ENST00000370078.2
NTNG1,ENST00000370068.6
VAV3,ENST00000370056.9
SLC25A24,ENST00000565488.6
NBPF4,ENST00000415641.8
FAM102B,ENST00000370035.8
HENMT1,ENST00000651461.1
PRPF38B,ENST00000370025.9
FNDC7,ENST00000370017.9
STXBP3,ENST00000370008.4
AKNAD1,ENST00000370001.8
GPSM2,ENST00000264126.9
CLCC1,ENST00000369969.7
WDR47,ENST00000369962.8
TAF13,ENST00000338366.6
TMEM167B,ENST00000338272.9
C1orf194,ENST00000369948.8
ELAPOR1,ENST00000369939.8
SARS1,ENST00000234677.7
CELSR2,ENST00000271332.4
MYBPHL,ENST00000357155.2
SORT1,ENST00000256637.8
PSMA5,ENST00000271308.9
SYPL2,ENST00000369872.4
ATXN7L2,ENST00000683729.1
CYB561D1,ENST00000420578.7
AMIGO1,ENST00000369864.5
GNAI3,ENST00000369851.7
GNAT2,ENST00000679935.1
AMPD2,ENST00000528667.7
