gene_name,transcript_id
ADGRD1,ENST00000261654.10
ADGRE1,ENST00000312053.9
ADGRE2,ENST00000315576.8
ADGRE3,ENST00000253673.6
ADGRE5,ENST00000242786.6
ADGRF1,ENST00000371253.7
ADGRF4,ENST00000283303.3
ADGRF5,ENST00000283296.12
ADGRG1,ENST00000562631.7
ADGRG2,ENST00000379869.8
ADGRG3,ENST00000333493.9
ADGRG4,ENST00000394143.6
ADGRG5,ENST00000349457.8
ADGRG6,ENST00000367609.8
ADGRG7,ENST00000273352.8
ADGRL3,ENST00000683033.1
ADGRL4,ENST00000370742.4
ADGRV1,ENST00000405460.9
ADH1A,ENST00000209668.3
ADH1B,ENST00000305046.13
ADH1C,ENST00000515683.6
ADH4,ENST00000265512.12
ADH5,ENST00000296412.14
ADH6,ENST00000394899.6
ADH7,ENST00000437033.7
ADHFE1,ENST00000396623.8
ADI1,ENST00000327435.11
ADIPOQ,ENST00000320741.7
ADIPOR1,ENST00000340990.10
ADIPOR2,ENST00000357103.5
ADIRF,ENST00000372013.8
ADK,ENST00000539909.6
ADM,ENST00000278175.10
ADM2,ENST00000395737.2
ADNP,ENST00000621696.5
ADNP2,ENST00000262198.9
ADO,ENST00000373783.3
ADORA1,ENST00000337894.9
ADORA2A,ENST00000337539.12
ADORA2B,ENST00000304222.3
ADORA3,ENST00000241356.5
ADPGK,ENST00000456471.3
ADPRHL1,ENST00000682618.1
ADPRM,ENST00000379774.5
ADPRS,ENST00000373178.5
ADRA1A,ENST00000380573.4
ADRA1B,ENST00000306675.5
ADRA1D,ENST00000379453.6
ADRA2A,ENST00000280155.4
ADRA2B,ENST00000620793.2
ADRA2C,ENST00000330055.7
ADRB1,ENST00000369295.4
ADRB2,ENST00000305988.6
ADRB3,ENST00000345060.5
ADRM1,ENST00000253003.7
ADSL,ENST00000623063.3
ADSS1,ENST00000330877.7
ADSS2,ENST00000366535.4
ADTRP,ENST00000414691.8
AEBP1,ENST00000223357.8
AEBP2,ENST00000266508.14
AEN,ENST00000332810.4
AFAP1L1,ENST00000296721.9
AFAP1L2,ENST00000304129.9
AFDN,ENST00000683244.1
AFF1,ENST00000395146.9
AFF2,ENST00000370460.7
AFF3,ENST00000672756.2
AFF4,ENST00000265343.10
AFG1L,ENST00000368977.9
AFG3L2,ENST00000269143.8
AFM,ENST00000226355.5
AFP,ENST00000395792.7
AGA,ENST00000264595.7
AGAP1,ENST00000304032.13
AGAP2,ENST00000547588.6
AGAP3,ENST00000397238.7
AGAP5,ENST00000374094.9
AGAP9,ENST00000452145.6
AGBL1,ENST00000614907.3
AGBL2,ENST00000525123.6
AGBL3,ENST00000436302.6
AGBL4,ENST00000371839.6
AGBL5,ENST00000360131.5
AGER,ENST00000375076.9
AGFG1,ENST00000310078.13
AGFG2,ENST00000300176.9
AGGF1,ENST00000312916.12
AGK,ENST00000649286.2
AGL,ENST00000361915.8
AGMAT,ENST00000375826.4
AGMO,ENST00000342526.8
AGO1,ENST00000373204.6
AGO2,ENST00000220592.10
AGO3,ENST00000373191.9
AGO4,ENST00000373210.4
AGPAT1,ENST00000375107.8
AGPAT2,ENST00000371696.7
AGPAT3,ENST00000291572.13
AGPAT4,ENST00000320285.9
AGPAT5,ENST00000285518.11
AGPS,ENST00000264167.11
AGR2,ENST00000419304.7
AGR3,ENST00000310398.7
AGRN,ENST00000379370.7
AGRP,ENST00000290953.3
AGT,ENST00000366667.6
AGTPBP1,ENST00000357081.8
AGTR1,ENST00000349243.8
AGTR2,ENST00000371906.5
AGTRAP,ENST00000314340.10
AGXT,ENST00000307503.4
AGXT2,ENST00000231420.11
AHCTF1,ENST00000648844.2
AHCY,ENST00000217426.7
AHCYL1,ENST00000369799.10
AHDC1,ENST00000673934.1
AHI1,ENST00000265602.11
AHNAK,ENST00000378024.9
AHNAK2,ENST00000333244.6
AHR,ENST00000242057.9
AHRR,ENST00000684583.1
AHSA1,ENST00000216479.8
AHSG,ENST00000411641.7
AHSP,ENST00000302312.9
AICDA,ENST00000229335.11
AIDA,ENST00000340020.11
AIF1,ENST00000376059.8
AIF1L,ENST00000247291.8
AIFM1,ENST00000287295.8
AIFM2,ENST00000307864.3
AIFM3,ENST00000440238.4
AIG1,ENST00000357847.9
AIM2,ENST00000368130.9
AIMP1,ENST00000672341.1
AIMP2,ENST00000223029.8
AIP,ENST00000279146.8
AIPL1,ENST00000381129.8
AIRE,ENST00000291582.6
AJAP1,ENST00000378191.5
AJUBA,ENST00000262713.7
AK1,ENST00000644144.2
AK2,ENST00000672715.1
AK3,ENST00000381809.8
AK4,ENST00000327299.8
AK5,ENST00000354567.7
AK6,ENST00000380822.9
AK7,ENST00000267584.9
AK8,ENST00000298545.4
AK9,ENST00000424296.7
AKAIN1,ENST00000434239.4
AKAP1,ENST00000337714.8
AKAP10,ENST00000225737.11
AKAP11,ENST00000025301.4
AKAP12,ENST00000402676.7
AKAP13,ENST00000394518.7
AKAP14,ENST00000371431.8
AKAP17A,ENST00000313871.9
AKAP3,ENST00000228850.6
AKAP4,ENST00000358526.7
AKAP5,ENST00000394718.4
AKAP6,ENST00000280979.9
AKAP7,ENST00000431975.7
AKAP8,ENST00000269701.7
AKAP8L,ENST00000397410.10
AKAP9,ENST00000356239.8
AKIP1,ENST00000309377.9
AKIRIN1,ENST00000432648.8
AKIRIN2,ENST00000257787.6
AKNA,ENST00000374088.8
AKNAD1,ENST00000370001.8
AKR1A1,ENST00000351829.9
AKR1B1,ENST00000285930.9
AKR1B10,ENST00000359579.5
AKR1B15,ENST00000457545.7
AKR1C1,ENST00000380872.9
AKR1C3,ENST00000380554.5
AKR1C4,ENST00000263126.3
AKR1D1,ENST00000242375.8
AKR1E2,ENST00000298375.12
AKR7A2,ENST00000235835.8
AKR7A3,ENST00000361640.5
AKT1,ENST00000649815.2
AKT1S1,ENST00000344175.10
AKT2,ENST00000392038.7
AKT3,ENST00000673466.1
AKTIP,ENST00000394657.12
ALAD,ENST00000409155.8
ALAS1,ENST00000484952.6
ALAS2,ENST00000650242.1
ALB,ENST00000295897.9
ALCAM,ENST00000306107.9
ALDH16A1,ENST00000293350.9
ALDH18A1,ENST00000371224.7
ALDH1A1,ENST00000297785.8
ALDH1A2,ENST00000249750.9
ALDH1A3,ENST00000329841.10
ALDH1B1,ENST00000377698.4
ALDH1L1,ENST00000393434.7
ALDH1L2,ENST00000258494.14
ALDH2,ENST00000261733.7
ALDH3A1,ENST00000225740.11
